status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,lng,lat,state
972933446287835000,2018-03-11T20:33:04Z,312893068,trashvirgo420,hey quick question what’s it like to not have chronic fatigue and also be in a constant state of depersonalization,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/3ad0f706b3fa62a8.json,Palo Alto,"Palo Alto, CA",city,United States,US,|,|,-122.190523|-122.097537|-122.097537|-122.190523|37.362824|37.362824|37.465918|37.465918,-122.14403,37.414371,California
972926851571122000,2018-03-11T20:06:52Z,87241305,wellnessmats,You will note the whole camera crew live streaming #ihhs2018 from the #cookingtheater can be found on our anti-fatigue mats. #healthystanding https://t.co/lCqjb5t4ZP,Twitter for iPhone,,,,FALSE,FALSE,2,0,ihhs2018|cookingtheater|healthystanding,,,,,http://pbs.twimg.com/media/DYCH0JdX4AELiZi.jpg,https://t.co/lCqjb5t4ZP,https://twitter.com/wellnessmats/status/972926851571122176/photo/1,photo,http://pbs.twimg.com/media/DYCH0JdX4AELiZi.jpg,https://t.co/lCqjb5t4ZP,https://twitter.com/wellnessmats/status/972926851571122176/photo/1,,,,en,,,,,https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json,Chicago,"Chicago, IL",city,United States,US,|,|,-87.940033|-87.523993|-87.523993|-87.940033|41.644102|41.644102|42.0230669|42.0230669,-87.732013,41.83358445,Illinois
972922057347527000,2018-03-11T19:47:49Z,1061681233,Iamdeedric,no sleep hunger pains body fatigued that's how that go tho,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/4233ec320eb73634.json,Cedar Hill,"Cedar Hill, TX",city,United States,US,|,|,-97.028288|-96.891039|-96.891039|-97.028288|32.541286|32.541286|32.649242|32.649242,-96.9596635,32.595264,Texas
972921350858920000,2018-03-11T19:45:00Z,327210379,Dudd23,@SouthwestAir worst day of travel ever. Pilot too fatigued to fly after he landed at 12 noon the day before. Redirected and lost a full day.,Twitter for iPhone,,7212562,SouthwestAir,FALSE,FALSE,0,0,,,,,,,,,,,,,,7212562,SouthwestAir,en,,,,,https://api.twitter.com/1.1/geo/id/6e5c7d7cfdf8a6b7.json,Kenner,"Kenner, LA",city,United States,US,|,|,-90.285434|-90.221258|-90.221258|-90.285434|29.969126|29.969126|30.049577|30.049577,-90.253346,30.0093515,Louisiana
972911657197417000,2018-03-11T19:06:29Z,139589859,OCR937,Blessed to be going to @WWE #Fastlane tonight with the Wifey #lupuscampaign #autoimmune #lupuswarrior #facts #staystrong #fatigue https://t.co/tSB7QrfcmZ,Twitter for Android,,,,FALSE,FALSE,0,0,Fastlane|lupuscampaign|autoimmune|lupuswarrior|facts|staystrong|fatigue,,,,,http://pbs.twimg.com/media/DYB5_jDUMAAq3Cr.jpg,https://t.co/tSB7QrfcmZ,https://twitter.com/OCR937/status/972911657197416449/photo/1,photo,http://pbs.twimg.com/media/DYB5_jDUMAAq3Cr.jpg,https://t.co/tSB7QrfcmZ,https://twitter.com/OCR937/status/972911657197416449/photo/1,,7517222,WWE,en,,,,,https://api.twitter.com/1.1/geo/id/3df0e3eb1e91170b.json,Columbus,"Columbus, OH",city,United States,US,|,|,-83.200169|-82.7713751|-82.7713751|-83.200169|39.832013|39.832013|40.157354|40.157354,-82.98577205,39.9946835,Ohio
972907617390682000,2018-03-11T18:50:26Z,382371953,dwayne_henry,@g_ack @HaleyOdom South-by Bartender Fatigue Syndrome,Twitter for iPhone,972906220800610000,49698488,g_ack,FALSE,FALSE,0,0,,,,,,,,,,,,,,49698488|18028855,g_ack|HaleyOdom,en,,,,,https://api.twitter.com/1.1/geo/id/c3f37afa9efcf94b.json,Austin,"Austin, TX",city,United States,US,|,|,-97.928935|-97.5805133|-97.5805133|-97.928935|30.127892|30.127892|30.5187994|30.5187994,-97.75472415,30.3233457,Texas
972873807160517000,2018-03-11T16:36:05Z,903681781567652000,HaywardScoreCEO,"I think it’s a combination of “apocalypse fatigue” and the fact that it is exhausting to find the truth about what is actually in consumer products, frying pans and buildimg materials! https://t.co/ag9bjGl8pz",Twitter for iPhone,,,,TRUE,FALSE,3,2,,,twitter.com/j_g_allen/stat…,https://t.co/ag9bjGl8pz,https://twitter.com/j_g_allen/status/971461270296846336,,,,,,,,,,,en,971461270296846000,"Smart piece by @annaruthski @GSO_URI. ""Why don't Americans care about chemicals?"" She proposes that it might be due to 'apocalypse fatigue', something talked about in climate circles.
https://t.co/Z01Cc7lN7t via @massivesci",,,https://api.twitter.com/1.1/geo/id/5a110d312052166f.json,San Francisco,"San Francisco, CA",city,United States,US,|,|,-122.514926|-122.357031|-122.357031|-122.514926|37.708075|37.708075|37.833238|37.833238,-122.4359785,37.7706565,California
972872178579526000,2018-03-11T16:29:37Z,14590552,sebastienperth,@billetmaman I’ve been waiting for any kind of hint of how they are going to react/capitalize on LPC/Wynn fatigue + Ford led “PC”… and I’ve noticed nothing.. WTH?,Tweetbot for Mac,972871791260479000,114575818,billetmaman,FALSE,FALSE,1,0,,,,,,,,,,,,,,114575818,billetmaman,en,,,,,https://api.twitter.com/1.1/geo/id/5f102b4a7cc3d42e.json,Greater Sudbury / Grand Sudbury,"Greater Sudbury / Grand Sudbury, Ontario",city,Canada,CA,|,|,-81.597501|-80.557314|-80.557314|-81.597501|46.195652|46.195652|46.972711|46.972711,-81.0774075,46.5841815,
972870504792183000,2018-03-11T16:22:58Z,298665362,emmegirl824,@LiberalLecter For me trump fatigue is at an all time high. Cannot stand his idiocy his bullying his lies his lack of humility &amp; complete lack of character. He had got to be removed from office! #TrumpIsACriminal #TrumpIsUnfit  #TrumpIsAMoron  #ImpeachTrump #LockHimUp,Twitter for iPhone,972681602768786000,22080404,LiberalLecter,FALSE,FALSE,1,1,TrumpIsACriminal|TrumpIsUnfit|TrumpIsAMoron|ImpeachTrump|LockHimUp,,,,,,,,,,,,,22080404,LiberalLecter,en,,,,,https://api.twitter.com/1.1/geo/id/62a71dfc8f486745.json,Hampton,"Hampton, NH",city,United States,US,|,|,-70.877383|-70.783882|-70.783882|-70.877383|42.913667|42.913667|42.9607338|42.9607338,-70.8306325,42.9372004,New Hampshire
972859532102853000,2018-03-11T15:39:21Z,14754669,BrettTrapp,"@tavani It’s coming. Mass return to analog lifestyles in the next decade. Deception in tech will create mass fatigue. When you can’t trust what’s on your screens, natural response will be face-to-face everything.",Twitter for iPhone,972847170742256000,12497392,tavani,FALSE,FALSE,15,0,,,,,,,,,,,,,,12497392,tavani,en,,,,,https://api.twitter.com/1.1/geo/id/8173485c72e78ca5.json,Atlanta,"Atlanta, GA",city,United States,US,|,|,-84.576827|-84.289385|-84.289385|-84.576827|33.6475029|33.6475029|33.8868859|33.8868859,-84.433106,33.7671944,Georgia
